,LATITUD,LONGITUD
3498,-98.1585085,-98.1585085
3499,-98.1585085,-98.1585085
3500,-98.1585085,-98.1585085
3505,-99.340919,-99.340919
3506,-99.340919,-99.340919
3525,-101.6975639,-101.6975639
3526,-101.6975639,-101.6975639
3528,-101.6975639,-101.6975639
3529,-101.6975639,-101.6975639
3530,-100.4067053,-100.4067053
3531,-100.4067053,-100.4067053
3532,-100.4067053,-100.4067053
3533,-100.4067053,-100.4067053
3534,-100.4067053,-100.4067053
3535,-100.4067053,-100.4067053
3538,-101.8650458,-101.8650458
3539,-101.8650458,-101.8650458
3540,-99.340919,-99.340919
3541,-99.340919,-99.340919
3542,-101.8650458,-101.8650458
3543,-101.8650458,-101.8650458
3548,-101.1835183,-101.1835183
3549,-101.1835183,-101.1835183
3550,-101.1835183,-101.1835183
3551,-101.1835183,-101.1835183
3552,-100.4759697,-100.4759697
3553,-100.4759697,-100.4759697
3554,-100.4759697,-100.4759697
3555,-100.4759697,-100.4759697
3556,-101.1835183,-101.1835183
3557,-101.1835183,-101.1835183
3560,-101.5794133,-101.5794133
3561,-101.5794133,-101.5794133
3562,-101.5794133,-101.5794133
3563,-101.5794133,-101.5794133
3569,-101.5188294,-101.5188294
3570,-101.5188294,-101.5188294
3571,-101.2291273,-101.2291273
3572,-101.2291273,-101.2291273
3573,-101.2291273,-101.2291273
3574,-101.2291273,-101.2291273
3575,-101.1272998,-101.1272998
3576,-101.1272998,-101.1272998
3577,-101.1272998,-101.1272998
3578,-101.1272998,-101.1272998
3583,-101.1860366,-101.1860366
3584,-101.1860366,-101.1860366
3585,-101.1860366,-101.1860366
3586,-101.1860366,-101.1860366
3587,-101.22743,-101.22743
3588,-101.22743,-101.22743
3589,-101.22743,-101.22743
3590,-101.22743,-101.22743
3591,-101.22743,-101.22743
3592,-101.22743,-101.22743
3593,-100.432782,-100.432782
3594,-100.432782,-100.432782
3595,-100.432782,-100.432782
3596,-100.432782,-100.432782
3597,-100.432782,-100.432782
3598,-100.432782,-100.432782
3599,-100.432782,-100.432782
3600,-100.4328519,-100.4328519
3601,-101.1754609,-101.1754609
3602,-101.1754609,-101.1754609
3603,-101.1754609,-101.1754609
3604,-101.1754609,-101.1754609
3625,-101.2141974,-101.2141974
3626,-101.2141974,-101.2141974
3627,-101.2141974,-101.2141974
3628,-101.2141974,-101.2141974
3629,-101.2141974,-101.2141974
3630,-101.2141974,-101.2141974
3631,-101.5903348,-101.5903348
3632,-101.5903348,-101.5903348
3633,-101.5903348,-101.5903348
3634,-101.5903348,-101.5903348
3643,-101.2257039,-101.2257039
3644,-101.2257039,-101.2257039
3645,-101.2257039,-101.2257039
3646,-101.2257039,-101.2257039
3647,-101.2257039,-101.2257039
3648,-101.2257039,-101.2257039
3649,-101.1656773,-101.1656773
3650,-101.1656773,-101.1656773
3651,-101.1656773,-101.1656773
3652,-101.1656773,-101.1656773
3655,-100.3904796,-100.3904796
3656,-100.3904796,-100.3904796
3657,-101.2257039,-101.2257039
3658,-100.3904796,-100.3904796
3659,-100.3904796,-100.3904796
3660,-101.2257039,-101.2257039
3661,-101.2257039,-101.2257039
3662,-101.2257039,-101.2257039
3663,-101.2257039,-101.2257039
3664,-101.2257039,-101.2257039
3665,-100.3904798,-100.3904798
3666,-100.3904798,-100.3904798
3667,-100.3904798,-100.3904798
3668,-100.3904798,-100.3904798
3669,-101.1300781,-101.1300781
3670,-101.1300781,-101.1300781
3673,-99.9132101,-99.9132101
3674,-99.9132101,-99.9132101
3675,-99.9132101,-99.9132101
3676,-99.9132101,-99.9132101
3677,-99.9132101,-99.9132101
3678,-99.9132101,-99.9132101
3685,-99.9132101,-99.9132101
3686,-99.9132217,-99.9132217
3687,-99.9132217,-99.9132217
3688,-99.9132217,-99.9132217
3689,-99.9132217,-99.9132217
3690,-99.9132217,-99.9132217
3691,-99.9132217,-99.9132217
3692,-99.9132217,-99.9132217
3693,-99.9132175,-99.9132175
3694,-99.9132175,-99.9132175
3695,-99.9132175,-99.9132175
3696,-99.9132175,-99.9132175
3697,-99.9132175,-99.9132175
3698,-99.9132175,-99.9132175
3701,-100.3904798,-100.3904798
3702,-100.3904798,-100.3904798
3705,-100.3904798,-100.3904798
3706,-100.3904798,-100.3904798
3707,-100.3904798,-100.3904798
3708,-100.3904798,-100.3904798
3710,-100.8215688,-100.8215688
3711,-100.8215688,-100.8215688
3712,-100.8215688,-100.8215688
3713,-100.821539,-100.821539
3714,-100.821539,-100.821539
3715,-100.821539,-100.821539
3716,-100.821539,-100.821539
3721,-101.2257039,-101.2257039
3722,-101.2257039,-101.2257039
3723,-100.4094888,-100.4094888
3724,-100.4094888,-100.4094888
3725,-100.4094888,-100.4094888
3726,-100.4094888,-100.4094888
3727,-101.8650418,-101.8650418
3728,-101.8650418,-101.8650418
3729,-101.2257047,-101.2257047
3730,-101.8650418,-101.8650418
3731,-101.8650418,-101.8650418
3732,-101.2257047,-101.2257047
3733,-101.6485497,-101.6485497
3734,-101.6485497,-101.6485497
3735,-101.6485497,-101.6485497
3736,-101.6485497,-101.6485497
3737,-100.8941729,-100.8941729
3738,-100.8941729,-100.8941729
3739,-100.8941729,-100.8941729
3740,-100.8941729,-100.8941729
3741,-100.8941729,-100.8941729
3742,-100.8941729,-100.8941729
3743,-100.8941709,-100.8941709
3744,-100.8941709,-100.8941709
3745,-100.8941709,-100.8941709
3746,-100.8941709,-100.8941709
3747,-100.8941709,-100.8941709
3748,-100.8941709,-100.8941709
3749,-100.8941709,-100.8941709
3750,-100.8941709,-100.8941709
3751,-100.8941709,-100.8941709
3752,-100.8941709,-100.8941709
3753,-100.8941725,-100.8941725
3755,-100.8941793,-100.8941793
3759,-100.8941708,-100.8941708
3760,-100.8941744,-100.8941744
3761,-100.8941744,-100.8941744
3762,-100.8941744,-100.8941744
3763,-100.8941744,-100.8941744
3764,-101.2257047,-101.2257047
3765,-101.2257047,-101.2257047
3766,-101.2257047,-101.2257047
3767,-101.2257047,-101.2257047
3768,-101.2257047,-101.2257047
3771,-101.2257047,-101.2257047
3772,-101.2257047,-101.2257047
3773,-101.2257047,-101.2257047
3774,-101.2257047,-101.2257047
3775,-101.2257047,-101.2257047
3776,-101.2257047,-101.2257047
3777,-101.2257047,-101.2257047
3778,-101.2257047,-101.2257047
3779,-101.2257047,-101.2257047
3780,-101.2257047,-101.2257047
3782,-101.2257047,-101.2257047
3783,-101.2257047,-101.2257047
3784,-101.2257047,-101.2257047
3785,-101.2257047,-101.2257047
3786,-101.2257047,-101.2257047
3787,-98.4420532,-98.4420532
3788,-98.4420532,-98.4420532
3789,-98.4420532,-98.4420532
3790,-98.4420532,-98.4420532
3791,-101.1967988,-101.1967988
3792,-101.1967988,-101.1967988
3793,-101.1967988,-101.1967988
3794,-101.1967988,-101.1967988
3795,-101.1967988,-101.1967988
3796,-101.1967988,-101.1967988
3797,-101.1967724,-101.1967724
3798,-101.196848,-101.196848
3799,-101.1968182,-101.1968182
3800,-101.1968475,-101.1968475
3801,-101.1968901,-101.1968901
3802,-102.3444892,-102.3444892
3803,-102.3444892,-102.3444892
3804,-102.3444892,-102.3444892
3805,-102.3444892,-102.3444892
3806,-102.3444892,-102.3444892
3807,-102.3444892,-102.3444892
3808,-102.3444892,-102.3444892
3809,-101.2507599,-101.2507599
3810,-101.2507599,-101.2507599
3811,-101.2507599,-101.2507599
3812,-101.2507599,-101.2507599
3813,-101.2507599,-101.2507599
3814,-101.2507599,-101.2507599
3815,-101.2507599,-101.2507599
3816,-101.2507599,-101.2507599
3817,-101.2507599,-101.2507599
3818,-100.3940485,-100.3940485
3819,-100.3940485,-100.3940485
3820,-100.3940485,-100.3940485
3821,-100.3940485,-100.3940485
3822,-100.8941744,-100.8941744
3823,-100.8941786,-100.8941786
3824,-100.8941786,-100.8941786
3825,-100.8941736,-100.8941736
3826,-100.8941736,-100.8941736
3827,-100.8941736,-100.8941736
3828,-100.8941736,-100.8941736
3829,-100.8941736,-100.8941736
3830,-100.8941736,-100.8941736
3831,-100.8941736,-100.8941736
3832,-100.8941736,-100.8941736
3843,-98.2166007,-98.2166007
3844,-98.2166007,-98.2166007
3845,-98.2166007,-98.2166007
3846,-98.2166007,-98.2166007
3847,-98.2166007,-98.2166007
3848,-98.2166007,-98.2166007
3849,-98.2166007,-98.2166007
3851,-100.3940485,-100.3940485
3852,-100.3940485,-100.3940485
3853,-101.2507599,-101.2507599
3854,-101.2507599,-101.2507599
3855,-101.2507599,-101.2507599
3856,-101.2507599,-101.2507599
3857,-101.2507599,-101.2507599
3858,-101.2507599,-101.2507599
3859,-101.2507599,-101.2507599
3860,-101.2507599,-101.2507599
3861,-101.2507599,-101.2507599
3862,-101.2507599,-101.2507599
3863,-101.2507599,-101.2507599
3864,-101.2507599,-101.2507599
3865,-101.2507599,-101.2507599
3866,-101.2507599,-101.2507599
3867,-101.2507599,-101.2507599
3872,-101.2507599,-101.2507599
3873,-101.2507599,-101.2507599
3874,-101.2507599,-101.2507599
3875,-101.2507599,-101.2507599
3876,-101.2507599,-101.2507599
3877,-101.2507599,-101.2507599
3878,-101.2507599,-101.2507599
3879,-101.2507599,-101.2507599
3880,-101.2507599,-101.2507599
3881,-101.2507599,-101.2507599
3882,-101.2507599,-101.2507599
3883,-101.2507599,-101.2507599
3884,-101.2507599,-101.2507599
3885,-101.2507599,-101.2507599
3886,-101.2507599,-101.2507599
3887,-101.2507599,-101.2507599
3888,-101.2507599,-101.2507599
3889,-101.2507599,-101.2507599
3890,-101.2507599,-101.2507599
3891,-101.2507599,-101.2507599
3892,-101.2507599,-101.2507599
3893,-101.2507599,-101.2507599
3894,-101.2507599,-101.2507599
3895,-101.2507599,-101.2507599
3896,-101.16810576296,-101.16810576296
3897,-101.16810576296,-101.16810576296
3898,-101.16810576296,-101.16810576296
3899,-101.16810576296,-101.16810576296
3900,-101.16810576296,-101.16810576296
3901,-101.16810576296,-101.16810576296
3902,-101.16810576296,-101.16810576296
3903,-101.16810576296,-101.16810576296
3904,-101.16810576296,-101.16810576296
3905,-101.16810576296,-101.16810576296
3906,-101.16810576296,-101.16810576296
3913,-102.0534674,-102.0534674
3914,-102.0534674,-102.0534674
3915,-102.0534674,-102.0534674
3916,-102.0534674,-102.0534674
3917,-101.0677184,-101.0677184
3918,-101.0677184,-101.0677184
3919,-101.0677184,-101.0677184
3920,-101.0677184,-101.0677184
3921,-101.0677184,-101.0677184
3922,-101.0677184,-101.0677184
3923,-100.821539,-100.821539
3924,-100.821539,-100.821539
3925,-100.821539,-100.821539
3926,-100.821539,-100.821539
3935,-102.0125002,-102.0125002
3936,-102.0125002,-102.0125002
3937,-102.0125002,-102.0125002
3938,-102.0125002,-102.0125002
3939,-100.5606986,-100.5606986
3940,-100.5606986,-100.5606986
3941,-100.5606986,-100.5606986
3946,-101.6485105,-101.6485105
3947,-101.6485105,-101.6485105
3948,-101.6485105,-101.6485105
3949,-101.6485105,-101.6485105
3950,-101.6485105,-101.6485105
3951,-101.6485105,-101.6485105
3952,-101.6485105,-101.6485105
3953,-101.6485105,-101.6485105
3954,-101.6485105,-101.6485105
3955,-101.6485105,-101.6485105
3956,-101.6485105,-101.6485105
3960,-99.9046106,-99.9046106
3961,-99.9046106,-99.9046106
3962,-99.9046106,-99.9046106
3970,-116.8558063,-116.8558063
3971,-100.1473516,-100.1473516
3978,-102.0125002,-102.0125002
3979,-102.0125002,-102.0125002
3982,-102.0125002,-102.0125002
3983,-102.0125002,-102.0125002
3984,-102.0125002,-102.0125002
3985,-102.0125002,-102.0125002
3986,-102.0125002,-102.0125002
3987,-102.0125002,-102.0125002
3988,-101.1410705,-101.1410705
3989,-101.1410705,-101.1410705
3990,-101.1410705,-101.1410705
3991,-101.1410705,-101.1410705
3992,-102.5103618,-102.5103618
3993,-100.4069113,-100.4069113
3994,-100.4069113,-100.4069113
3995,-100.4068485,-100.4068485
3996,-102.5103576,-102.5103576
3997,-102.5103576,-102.5103576
3998,-100.4068485,-100.4068485
4003,-101.4555072,-101.4555072
